date,ticker,mnav_proxy
2026-03-17,MSTR,1.228391739190491
2026-03-18,MSTR,1.1594148314404444
2026-03-19,MSTR,1.1848621300131452
2026-03-20,MSTR,1.1840938827254561
2026-03-23,MSTR,1.2418263050093743
2026-03-24,MSTR,1.1716354376992029
2026-03-25,MSTR,1.2041767878931902
2026-03-26,MSTR,1.138015003493055
2026-03-27,MSTR,1.1193903521316662
2026-03-30,MSTR,1.124094586044141
2026-03-31,MSTR,1.1423046366364222
2026-04-01,MSTR,1.1004471850151134
2026-04-02,MSTR,1.0763396474145612
2026-04-06,MSTR,1.1296172549377026
2026-04-07,MSTR,1.0997526259455055
2026-04-08,MSTR,1.0928876423860352
2026-04-09,MSTR,1.1134592169058206
2026-04-10,MSTR,1.1002973221439911
2026-04-13,MSTR,1.1434457005059313
2026-04-14,MSTR,1.1261738849317386
2026-04-15,MSTR,1.179331730903709
2026-04-16,MSTR,1.2150477746445212
2026-04-17,MSTR,1.353298741356859
2026-04-20,MSTR,1.4120560858919413
2026-04-21,MSTR,1.3194688957847385
2026-04-22,MSTR,1.434459704982185
2026-04-23,MSTR,1.345636136034077
2026-04-24,MSTR,1.3337006709658772
2026-04-27,MSTR,1.313426175067615
2026-04-28,MSTR,1.307466355629256
2026-04-29,MSTR,1.2650552910072401
2026-04-30,MSTR,1.3326623002178002
2026-05-01,MSTR,1.4174907496780005
2026-05-04,MSTR,1.429043031727566
2026-05-05,MSTR,1.4292294770791638
2026-05-06,MSTR,1.4094064528913455
2026-05-07,MSTR,1.3480364298059122
2026-05-08,MSTR,1.4309381196901785
2026-05-11,MSTR,1.4583048338536844
2026-05-12,MSTR,1.3791373565443368
2026-05-13,MSTR,1.350299190952385
2026-05-14,MSTR,1.4394487406935246
2026-05-15,MSTR,1.3360941535250432
2026-05-18,MSTR,1.3136769972968967
2026-05-19,MSTR,1.3058209273939272
2026-05-20,MSTR,1.3186188553112028
2026-05-21,MSTR,1.2989413026683514
2026-05-22,MSTR,1.258559368091022
2026-05-26,MSTR,1.2636319088018537
2026-05-27,MSTR,1.2409629588399738
2026-05-28,MSTR,1.2451733252766708
2026-05-29,MSTR,1.318550587899067
2026-06-01,MSTR,1.2422820861182815
2026-06-02,MSTR,1.1647092729485515
2026-06-03,MSTR,1.1576519904412659
2026-06-04,MSTR,1.2330303826355986
2026-06-05,MSTR,1.1521628479178625
2026-06-08,MSTR,1.2271604435742973
2026-06-09,MSTR,1.1326076291886251
2026-06-10,MSTR,1.1417779854703152
2026-06-11,MSTR,1.192958257590084
2026-06-12,MSTR,1.1906900032673375
2026-06-15,MSTR,1.2182729963121617
2026-06-16,MSTR,1.1308517592385428
2026-06-17,MSTR,1.08431239990108
2026-06-18,MSTR,1.0659050174088145
2026-06-22,MSTR,1.056315381390303
2026-06-23,MSTR,0.9913952610985143
2026-06-24,MSTR,0.9169763486476645
2026-06-25,MSTR,0.8540484341578757
2026-06-26,MSTR,0.8412404901569548
2026-06-29,MSTR,0.9509217505030796
2026-06-30,MSTR,0.8821722037117332
2026-07-01,MSTR,0.9733980720412584
2026-07-02,MSTR,1.0257707862786305
2026-07-06,MSTR,0.9673984937798
2026-07-07,MSTR,0.9285997439023842
2026-07-08,MSTR,0.9047264219435583
2026-07-09,MSTR,0.9207386095862474
2026-07-10,MSTR,0.9142036305245631
2026-07-13,MSTR,0.8819390540916688
2026-07-14,MSTR,0.9564357318876359
2026-07-15,MSTR,0.915596431930226
2026-07-16,MSTR,0.8869176085626029
2026-07-17,MSTR,0.9076230396629565
2026-07-20,MSTR,0.9233332073310554
2026-07-21,MSTR,0.954720911821074
2026-07-22,MSTR,0.9177431031650316
2026-07-23,MSTR,0.8649692866503016
2026-07-24,MSTR,0.8604579410743408
2026-07-27,MSTR,0.9220429281972096
2026-07-28,MSTR,0.9218721172021163
2026-07-29,MSTR,0.8907774836821285
2026-07-30,MSTR,0.933202950783656
2026-07-31,MSTR,0.8790315271593648
2026-08-03,MSTR,0.9123786759106918
2026-08-04,MSTR,0.9391192294693296
2026-08-05,MSTR,0.9376736349145134
2026-08-06,MSTR,0.9155375992293436
2026-08-07,MSTR,0.9495984194752979
